size,matmul_1_gpu_1,matmul_1_gpu_2,matmul_1_gpu_3
3264,0.0356205106,0.0354891233,0.0356123522
3328,0.0457497314,0.0455785617,0.045327425
3392,0.0402612165,0.0404517464,0.0403053164
3456,0.0493158735,0.0491078086,0.0493008979
3520,0.0445716791,0.044596035,0.0447135717
3584,0.0552504696,0.0550782122,0.0556881614
3648,0.0487893112,0.0489111058,0.0487918742
3712,0.0630390719,0.0632100552,0.0632784069
3776,0.0541135706,0.0539530888,0.0543488972
3840,0.0647651851,0.0646289662,0.0645468161
3904,0.0606699251,0.0606568679,0.0605241954
3968,0.0747239441,0.0748846084,0.0747808665
4032,0.0615413785,0.0618323535,0.0614584982
4096,0.0743517205,0.0741355568,0.0745123848
4160,0.0675749183,0.0677093491,0.067575939
4224,0.0913576409,0.0915940553,0.0915240645
4288,0.0783401951,0.0786562338,0.0785893127
4352,0.0987640023,0.0986698568,0.0988861844
4416,0.091986917,0.0920448676,0.0921825022
4480,0.108214565,0.108202979,0.108526371
4544,0.0955184698,0.0957798436,0.0958408043
4608,0.11141745,0.11128474,0.111651301
4672,0.109061383,0.108680487,0.109070949
4736,0.133266702,0.133214206,0.133794025
4800,0.115257792,0.114646249,0.11477796
4864,0.14739725,0.147245213,0.147290975
4928,0.129846916,0.130278438,0.129647493
4992,0.157070115,0.157121256,0.157535493
5056,0.138148084,0.138072714,0.138534158
5120,0.149276331,0.149177417,0.149008423
5184,0.147006571,0.14695771,0.147115037
5248,0.189328939,0.18926014,0.189204171
5312,0.164460018,0.164130375,0.164646864
5376,0.18454504,0.184743285,0.18530421
5440,0.175921634,0.175959587,0.17613706
5504,0.21416682,0.214504734,0.214189008
5568,0.177987367,0.178097099,0.178367496
5632,0.230157837,0.230238065,0.230490059
5696,0.198411167,0.197784036,0.197899401
5760,0.236857072,0.236114413,0.236490965
5824,0.203813702,0.20402804,0.203894049
5888,0.263007879,0.263182759,0.263616413
5952,0.22090219,0.221400842,0.220885262
6016,0.273244858,0.273191869,0.273093969
6080,0.250810355,0.250709414,0.250610292
6144,0.288301706,0.288805813,0.287579536
6208,0.255532563,0.254567206,0.254861832
6272,0.309966147,0.309824198,0.309266031
6336,0.272550017,0.272381872,0.271953881
6400,0.317607611,0.317361712,0.316908807
6464,0.273643941,0.273324698,0.273621231
6528,0.363724411,0.363533378,0.364148527
6592,0.302813083,0.302032679,0.302158237
6656,0.365970373,0.366479605,0.366534412
6720,0.31689173,0.315993965,0.315876275
6784,0.388205051,0.387861133,0.38847515
6848,0.33700484,0.337410361,0.336885184
6912,0.408862472,0.409057796,0.409210145
6976,0.376871705,0.376704454,0.376296163
7040,0.446980357,0.446402431,0.446982175
7104,0.429115385,0.428024322,0.428924322
7168,0.469825476,0.469296545,0.469420224
7232,0.418936759,0.418385714,0.419037163
7296,0.484401733,0.483347833,0.483631402
7360,0.435601711,0.435451388,0.436074734
7424,0.542087376,0.542706311,0.542795002
7488,0.453445286,0.456777543,0.453707635
7552,0.551646054,0.552345753,0.552001357
7616,0.476152956,0.47575137,0.475926518
7680,0.5456568,0.5445292,0.545952916
7744,0.498439461,0.499241382,0.499118298
7808,0.601179302,0.601242959,0.601173759
7872,0.514534116,0.514331341,0.51472801
7936,0.647044539,0.646551967,0.645989358
8000,0.551397979,0.550417483,0.550777137
8064,0.582244456,0.582543194,0.581818998
8128,0.565876007,0.565436423,0.565445065
8192,0.619502366,0.618461728,0.618863046
